Time: 2026-01-12 07:32:12 UTC | Period: #22 | Runtime: 105 minutes

BTC: 91845.90 (1h: -0.02%, 4h: -0.37%) | MACD: -63.8896 | RSI: 51.00

Account: Equity 99.86 | Balance 100.00 (100.1%) | PnL +0.00% | Margin 0.0% | Positions 0

Current Positions: None

## Candidate Coins (3 coins)

### 1. SOLUSDT (Manual selection)

=== SOLUSDT Market Data ===

current_price = 141.9500, current_ema20 = 142.238, current_macd = -0.203, current_rsi7 = 39.705

Additional data for SOLUSDT:

Funding Rate: 1.00e-04

=== 5M Timeframe (oldest → latest) ===

Time(UTC)      Open      High      Low       Close     Volume
01-12 04:50    142.9500  142.9600  142.7500  142.8000  34942.49    
01-12 04:55    142.8000  142.8200  142.6800  142.6800  20289.12    
01-12 05:00    142.6800  142.7100  142.4200  142.6200  98482.87    
01-12 05:05    142.6200  142.7700  142.5700  142.7700  30392.42    
01-12 05:10    142.7700  142.8500  142.6000  142.6300  22431.87    
01-12 05:15    142.6400  142.7700  142.5400  142.7600  24558.61    
01-12 05:20    142.7700  142.9000  142.7400  142.8500  25474.17    
01-12 05:25    142.8500  142.9500  142.8000  142.9200  16882.74    
01-12 05:30    142.9200  143.1500  142.7700  143.0600  75934.84    
01-12 05:35    143.0500  143.1800  142.7700  142.8600  53629.84    
01-12 05:40    142.8600  142.8700  142.6600  142.7500  28808.26    
01-12 05:45    142.7600  142.7800  142.6200  142.6800  37867.88    
01-12 05:50    142.6700  142.7800  142.6000  142.7400  27842.89    
01-12 05:55    142.7500  142.7700  142.6300  142.7400  19328.23    
01-12 06:00    142.7300  142.7700  142.5600  142.7600  45720.32    
01-12 06:05    142.7700  143.3200  142.7500  143.1100  101680.97   
01-12 06:10    143.1200  143.2600  143.0900  143.1300  43055.48    
01-12 06:15    143.1200  143.2800  142.8700  143.0100  47473.75    
01-12 06:20    143.0100  143.0100  142.7700  142.7900  50097.11    
01-12 06:25    142.7800  142.7900  142.3300  142.4200  126073.81   
01-12 06:30    142.4100  142.4300  142.1800  142.2900  54121.25    
01-12 06:35    142.3000  142.3300  141.9400  142.0300  149387.76   
01-12 06:40    142.0400  142.2500  142.0300  142.1800  51140.01    
01-12 06:45    142.1900  142.1900  142.0300  142.0800  27775.96    
01-12 06:50    142.0900  142.1700  141.8200  141.8500  131177.22   
01-12 06:55    141.8500  141.9900  141.8100  141.9600  37113.17    
01-12 07:00    141.9700  142.2000  141.8500  142.1600  89180.61    
01-12 07:05    142.1500  142.4200  142.0900  142.2900  61287.19    
01-12 07:10    142.2900  142.4000  142.1700  142.1800  27560.99    
01-12 07:15    142.1800  142.3100  141.7800  141.8300  52765.31    
01-12 07:20    141.8400  141.9300  141.8000  141.8700  59329.63    
01-12 07:25    141.8700  142.0500  141.7700  141.9900  43311.29    
01-12 07:30    141.9800  141.9800  141.9500  141.9500  1144.91       <- current

EMA20: [138.7530, 138.9537, 139.1400, 139.2267, 139.3136, 139.3771, 139.4183, 139.4652, 139.5037, 139.4824, 139.4755, 139.4740, 139.4517, 139.4173, 139.4185, 139.4167, 139.4418, 139.4607, 139.4587, 139.4398, 139.4122, 139.3910, 139.3757, 139.3866, 139.4174, 139.4376, 139.4664, 139.5001, 139.5458, 139.5872, 139.6217, 139.6435, 139.6860, 139.7140, 139.7250, 139.7341, 139.7299, 139.7099, 139.6804, 139.6308, 139.6450, 139.6207, 139.5711, 139.5044, 139.4335, 139.3065, 139.1830, 139.0856, 139.0108, 138.9497, 138.8707, 138.8316, 138.7905, 138.7619, 138.6960, 138.6287, 138.5851, 138.5579, 138.5333, 138.5216, 138.5062, 138.4704, 138.4456, 138.4422, 138.4715, 138.4895, 138.4486, 138.3830, 138.3370, 138.2792, 138.2888, 138.2946, 138.3161, 138.3050, 138.3188, 138.3342, 138.3204, 138.3080, 138.2549, 138.2649, 138.3282, 138.4570, 138.5211, 138.5886, 138.6421, 138.6761, 138.7451, 138.8075, 138.8906, 138.9629, 138.9845, 138.9822, 139.0010, 139.1181, 139.2535, 139.3817, 139.4635, 139.5460, 139.6073, 139.6866, 139.7631, 139.9067, 140.0479, 140.1634, 140.2878, 140.3937, 140.4905, 140.6171, 140.6469, 140.7158, 140.7771, 140.8212, 140.8573, 140.8709, 140.9213, 140.9840, 141.0627, 141.1720, 141.2346, 141.3151, 141.3623, 141.4192, 141.4755, 141.5635, 141.6432, 141.7124, 141.7874, 141.8829, 142.0788, 142.2246, 142.3642, 142.4705, 142.5438, 142.5824, 142.6003, 142.6193, 142.6413, 142.6269, 142.6196, 142.6339, 142.6507, 142.6792, 142.6783, 142.6689, 142.6909, 142.7109, 142.7251, 142.7465, 142.7516, 142.7448, 142.7329, 142.7364, 142.7263, 142.7295, 142.7410, 142.7580, 142.7868, 142.7938, 142.7896, 142.7791, 142.7754, 142.7720, 142.7709, 142.8032, 142.8343, 142.8511, 142.8452, 142.8047, 142.7557, 142.6866, 142.6384, 142.5852, 142.5152, 142.4623, 142.4335, 142.4198, 142.3970, 142.3430, 142.2979, 142.2686, 142.2383]
EMA50: [139.3158, 139.3367, 139.3663, 139.3904, 139.4076, 139.4238, 139.4342, 139.4376, 139.4361, 139.4253, 139.4392, 139.4373, 139.4240, 139.4023, 139.3771, 139.3270, 139.2754, 139.2316, 139.1951, 139.1628, 139.1219, 139.0959, 139.0686, 139.0459, 139.0077, 138.9677, 138.9365, 138.9115, 138.8875, 138.8688, 138.8488, 138.8207, 138.7967, 138.7815, 138.7803, 138.7756, 138.7475, 138.7088, 138.6771, 138.6399, 138.6297, 138.6188, 138.6149, 138.5986, 138.5928, 138.5884, 138.5728, 138.5577, 138.5261, 138.5196, 138.5357, 138.5805, 138.6021, 138.6267, 138.6472, 138.6611, 138.6900, 138.7179, 138.7556, 138.7907, 138.8063, 138.8124, 138.8268, 138.8818, 138.9468, 139.0117, 139.0598, 139.1096, 139.1520, 139.2025, 139.2530, 139.3321, 139.4128, 139.4853, 139.5631, 139.6351, 139.7047, 139.7877, 139.8325, 139.8928, 139.9503, 140.0009, 140.0479, 140.0852, 140.1368, 140.1934, 140.2568, 140.3334, 140.3921, 140.4583, 140.5113, 140.5681, 140.6246, 140.6943, 140.7612, 140.8242, 140.8900, 140.9645, 141.0812, 141.1803, 141.2787, 141.3651, 141.4386, 141.4979, 141.5478, 141.5969, 141.6460, 141.6791, 141.7133, 141.7547, 141.7961, 141.8413, 141.8738, 141.9015, 141.9407, 141.9783, 142.0129, 142.0496, 142.0791, 142.1026, 142.1229, 142.1483, 142.1672, 142.1904, 142.2163, 142.2439, 142.2759, 142.2988, 142.3165, 142.3307, 142.3468, 142.3622, 142.3778, 142.4065, 142.4349, 142.4575, 142.4705, 142.4685, 142.4615, 142.4446, 142.4342, 142.4203, 142.3980, 142.3808, 142.3721, 142.3689, 142.3615, 142.3407, 142.3222, 142.3092, 142.2951]
MACD: [0.6973, 0.6540, 0.6094, 0.5205, 0.4552, 0.4029, 0.3398, 0.2745, 0.2473, 0.2209, 0.2199, 0.2135, 0.1901, 0.1552, 0.1173, 0.0895, 0.0699, 0.0744, 0.0947, 0.1032, 0.1174, 0.1335, 0.1574, 0.1744, 0.1833, 0.1802, 0.1948, 0.1953, 0.1815, 0.1678, 0.1448, 0.1116, 0.0747, 0.0258, 0.0367, 0.0137, -0.0277, -0.0781, -0.1255, -0.2138, -0.2878, -0.3304, -0.3490, -0.3539, -0.3737, -0.3578, -0.3461, -0.3258, -0.3397, -0.3530, -0.3451, -0.3246, -0.3049, -0.2772, -0.2563, -0.2553, -0.2453, -0.2187, -0.1682, -0.1340, -0.1534, -0.1909, -0.2069, -0.2306, -0.1947, -0.1668, -0.1295, -0.1242, -0.0988, -0.0753, -0.0792, -0.0814, -0.1173, -0.0954, -0.0316, 0.0785, 0.1200, 0.1591, 0.1816, 0.1851, 0.2177, 0.2408, 0.2784, 0.3023, 0.2810, 0.2426, 0.2274, 0.2967, 0.3723, 0.4320, 0.4452, 0.4577, 0.4510, 0.4606, 0.4669, 0.5287, 0.5807, 0.6044, 0.6328, 0.6423, 0.6433, 0.6694, 0.6112, 0.5937, 0.5725, 0.5398, 0.5048, 0.4557, 0.4439, 0.4440, 0.4573, 0.4945, 0.4877, 0.4967, 0.4766, 0.4673, 0.4588, 0.4779, 0.4875, 0.4870, 0.4915, 0.5125, 0.6149, 0.6618, 0.6974, 0.7005, 0.6759, 0.6257, 0.5650, 0.5133, 0.4710, 0.4037, 0.3512, 0.3236, 0.3015, 0.2919, 0.2587, 0.2226, 0.2173, 0.2106, 0.1999, 0.1963, 0.1793, 0.1544, 0.1283, 0.1184, 0.0981, 0.0915, 0.0924, 0.0976, 0.1118, 0.1057, 0.0909, 0.0727, 0.0624, 0.0536, 0.0477, 0.0705, 0.0891, 0.0931, 0.0777, 0.0351, -0.0090, -0.0641, -0.0947, -0.1255, -0.1666, -0.1881, -0.1868, -0.1733, -0.1696, -0.1926, -0.2053, -0.2033, -0.2026]
RSI7: [32.0755, 31.6116, 23.0537, 18.6386, 28.7669, 43.2805, 53.6930, 52.4101, 46.5688, 53.6067, 50.2944, 78.0603, 82.7550, 82.4431, 82.8208, 57.8517, 59.3480, 55.2777, 50.9465, 53.4496, 52.2064, 37.2834, 41.5764, 43.3174, 37.5702, 33.9837, 47.2901, 46.3288, 56.0555, 54.4120, 46.4652, 40.2871, 36.7987, 39.0381, 41.4581, 55.0037, 63.3705, 58.7370, 63.0688, 66.0893, 71.5237, 71.5237, 68.7134, 59.6056, 70.5394, 61.6207, 51.3014, 50.6418, 42.3779, 33.9305, 29.1460, 21.9304, 55.2902, 42.0909, 34.8694, 30.0923, 27.9553, 18.6730, 17.7361, 25.0484, 31.6628, 35.0085, 29.0770, 44.1036, 42.2602, 46.1957, 33.6926, 31.7811, 40.6237, 46.4701, 46.4701, 51.9222, 49.2615, 38.6361, 43.5749, 54.3021, 66.8149, 61.6055, 38.3497, 31.4289, 37.5635, 33.3382, 55.6111, 54.6283, 59.3748, 48.2823, 55.8074, 56.6897, 46.2717, 46.2717, 33.5420, 54.0072, 65.5667, 75.1531, 60.6959, 62.2369, 60.0399, 55.7360, 63.8075, 63.8075, 69.1648, 67.9083, 51.2523, 44.8372, 51.5980, 71.2310, 74.7577, 75.4376, 63.4704, 65.0858, 60.2503, 65.5781, 66.6220, 78.4927, 79.7832, 74.1591, 77.1895, 73.8228, 74.0117, 80.6808, 48.9006, 58.3608, 58.0757, 54.3582, 53.0380, 46.4560, 58.4790, 62.8576, 67.9033, 74.8387, 60.3788, 65.4958, 56.3295, 59.9614, 61.2158, 69.8199, 69.8199, 68.2350, 71.5051, 77.5264, 88.6361, 76.0500, 76.9747, 68.8354, 60.3297, 51.3796, 46.3955, 47.3879, 49.2160, 38.0966, 40.7016, 49.7479, 51.3231, 56.8466, 44.9463, 41.6747, 55.2012, 55.2012, 53.1057, 57.3551, 48.7632, 42.7817, 39.9249, 49.7180, 42.2232, 50.3341, 55.3920, 59.1655, 65.8969, 51.6943, 45.4137, 41.6563, 46.1146, 46.1146, 47.9202, 69.0760, 69.8914, 59.0015, 44.2534, 29.6912, 26.1623, 20.4820, 30.6208, 27.8581, 22.4283, 30.0370, 42.0866, 48.7767, 43.7837, 31.7276, 34.1454, 41.4078, 39.7050]
